crimes,armas,delegacia,investimento
892,911,1,5086.754628095329
801,914,1,4863.653318403303
852,913,1,4835.729304203375
837,915,1,4895.7935757858695
821,909,1,4618.214906403026
918,907,1,4804.547262190735
891,912,0,5196.623428118492
882,913,1,4807.819509188823
860,909,1,5381.507329045986
910,911,1,5081.219816709848
852,912,1,5012.880221800134
853,913,0,4625.50195483447
856,912,1,5132.836693394298
837,907,1,4891.8317010234105
916,911,1,4742.629453500491
884,909,1,5217.569336543729
829,911,1,5377.201598752195
806,911,1,5328.082875281902
886,911,1,5239.182434499352
859,907,1,5095.3710016382365
830,912,1,4825.770301530239
790,912,1,5132.008483142434
880,912,1,4938.497086147143
851,914,1,4856.520651704197
811,909,1,5181.81340831857
902,909,1,4937.53624998171
815,910,1,5334.149133299856
852,906,1,5401.220232197048
856,912,1,4903.1717414746345
850,912,1,5498.029363849594
846,908,1,5232.281610319936
861,912,1,5055.06327829288
788,910,1,5105.770688640828
830,909,1,5208.7551900768995
899,912,1,4906.864516495719
831,913,1,5279.992426243625
855,912,1,5370.664860008146
827,911,1,4836.725982837212
804,912,1,5094.123025510045
910,912,1,5022.344208418229
795,911,1,4673.956944460971
893,909,1,4822.513758553879
902,905,1,4867.570791672484
934,909,1,5241.286956954655
876,908,1,4990.52919113899
903,910,1,4500.522747796681
926,907,1,4904.561181382741
828,913,1,4651.228361203947
895,909,1,5321.4120338361145
903,913,1,4797.926552494568
901,911,1,5122.902757086514
811,915,1,5185.931126157564
824,909,1,5030.55040815893
889,912,1,4771.519755734968
869,911,1,5228.363712451836
834,909,1,5201.402860957198
830,908,1,5035.727207946713
853,906,1,5224.05201999722
882,912,1,4916.922238220352
854,909,1,5281.197275447421
879,909,1,5065.484947335776
827,908,1,5381.656309271404
877,912,1,4777.363721008892
891,912,1,5332.374335849956
850,912,1,5100.152296364232
909,909,1,4726.295966104059
871,912,1,5395.777555418439
878,914,1,4947.161095775176
837,909,1,4931.929144602675
863,912,1,5010.955735021152
862,912,1,4796.965753542092
855,909,1,5314.353176241951
928,906,1,4335.049925076133
850,912,1,5395.410321769999
840,909,1,5041.847556359733
809,912,1,5112.746631538176
833,912,0,5592.199976439291
779,912,1,5292.400945605151
836,909,1,5026.355195169348
894,912,1,5018.620423409563
872,913,1,5505.297723450512
860,913,1,4903.231585728345
