crimes,armas,delegacia,investimento
856,913,1,5344.028379246722
826,916,1,5104.105186547205
849,915,1,5284.477664706152
749,916,1,4430.836009427213
855,911,1,5069.140962876881
844,909,1,5003.618854773043
880,913,1,5077.047484661159
830,914,1,4991.806235959746
875,910,1,5291.889522355999
819,912,1,5304.001372570275
837,914,1,5471.712983521141
913,914,0,5227.219933345897
814,913,1,5145.3261306641625
891,908,1,5077.066175736128
868,912,1,4930.912442827137
857,910,1,5137.9804873722005
842,912,1,4984.871386329933
813,912,1,4996.885139536686
870,912,1,5348.391411368262
866,908,1,4909.681409078807
905,913,1,4936.383183443679
841,913,1,4800.935822038001
861,914,1,4631.621053094654
961,915,1,5102.216020413318
897,910,1,4814.498768133612
937,911,1,4892.603856593037
859,911,0,4786.116219772718
838,908,1,4842.26212356107
873,913,1,4898.437095156654
866,913,1,4749.570166067706
848,909,1,4848.658921198563
880,913,1,5291.79047831036
819,912,1,4965.024736989703
904,911,1,4937.499087453852
857,914,1,4849.4109190352565
918,915,1,5277.993921752205
849,914,1,4546.236891404026
876,912,1,4619.62915848404
893,913,1,5004.632104158992
844,913,1,4758.496009597589
833,913,1,4824.852650878825
876,910,1,4572.134458968861
841,907,1,5060.455506467609
856,910,1,4873.634328793183
824,909,1,5458.504759714511
928,912,1,4885.379870068462
858,908,1,5034.985692601511
865,914,1,4716.343071509315
851,911,1,5394.233996220638
888,914,1,4926.347106499845
822,912,1,4983.020768424495
877,916,1,4748.113407090017
912,910,1,4986.394732449438
838,913,1,4849.629475707953
801,913,1,4906.19336280693
826,910,1,5180.108438588875
890,910,1,5729.6248720518615
892,908,1,4937.976440415249
822,914,1,4399.554249344148
861,910,1,5070.967143512687
880,910,1,5052.08062683199
888,909,1,5115.398304498046
794,913,0,4973.44680715241
883,913,1,4604.899989862254
848,913,0,4667.8578858051815
898,911,1,4851.499671756587
812,914,1,4979.738883938386
835,915,1,4632.39312820605
810,910,1,4998.252374883943
826,913,1,4588.75317186311
860,913,1,4696.0988254634485
834,910,1,4795.374203654823
894,908,1,5111.327506134676
846,913,1,5039.686888037566
921,910,1,4869.503072528193
777,913,1,5529.668112730174
913,913,1,5361.8155451316925
791,913,1,4727.243632314399
845,910,1,5170.594044865547
861,913,1,4745.853088156383
911,914,1,4709.401097384966
902,915,1,5215.813769900253
846,915,1,5181.385757066881
839,911,1,5239.254854832183
843,915,1,4967.3683958682295
911,909,1,4498.175178547749
825,912,1,5115.189011636973
857,906,1,4876.397185279068
965,910,1,4827.536776777473
834,915,1,5389.317804593791
848,914,1,5372.557298779395
911,910,1,4606.747727141692
815,913,1,4876.851746365931
864,907,1,5337.734754424813
817,910,1,5101.815983589823
826,914,1,5485.704890744548
811,911,1,5573.633936266411
878,914,1,4929.647947228856
836,911,1,4921.270440374893
862,906,1,4991.560784050515
843,912,1,5367.657940792886
859,913,1,5113.870201241043
848,915,1,4772.051666298281
838,912,1,5125.574097119061
894,909,1,4820.573635354463
908,915,1,5055.8522880918845
833,914,1,4759.033363582406
882,914,1,5144.7060691230445
821,911,1,5000.730442805913
882,913,1,5604.7151979614155
844,909,1,4830.389178500462
870,910,1,4717.135666364816
847,908,1,4896.202416426041
829,913,1,5517.333904473983
869,909,1,4949.7126690271925
821,913,1,4868.307999995086
774,913,1,4582.007673899179
798,912,1,4767.221496062635
905,906,1,4634.99505829687
880,912,1,5455.907089117779
