crimes,armas,delegacia,investimento
935,911,1,5210.572110840191
935,911,1,4870.542980903263
937,913,1,4974.125391524735
935,910,0,5174.391239310629
932,907,1,4762.703521820539
933,909,1,4931.582400570906
932,908,1,5222.844081832777
932,907,1,5079.128887148157
936,912,1,5262.284477160479
934,910,1,4810.696365082914
933,909,1,4842.64352369671
933,909,1,4607.046753135353
934,910,1,4730.813612619377
932,908,1,4995.868819909773
937,913,1,4996.249571341108
932,908,1,5101.2634363434045
935,911,1,4421.57204334796
937,913,1,4934.996783487169
937,912,1,4821.258540681063
933,909,1,4984.0115881198235
932,908,1,4725.001834100961
930,906,1,4874.382821897489
933,908,1,4972.743027429727
936,911,1,4962.373342995869
936,911,1,5396.057094411616
934,910,1,5517.031671970314
934,909,1,5005.5376242596185
937,912,1,4756.825419481951
936,912,1,5238.516297637059
934,910,1,4499.162022518568
936,912,1,4894.970364118467
932,908,1,5131.217808754149
937,912,1,5011.453829580881
936,912,1,4614.286632960742
937,913,1,5232.893189528058
932,908,1,4917.156547273231
932,908,1,4938.110205087445
935,910,1,4952.945234580061
932,908,1,4598.282996592665
931,907,1,4814.947433159026
932,907,1,5106.199639500982
931,907,1,4860.759421674239
932,907,1,4798.2377967728235
936,911,1,5203.110939395123
937,912,1,4975.368113065267
934,909,1,5013.679886170884
935,911,1,5364.833570760932
934,910,1,4782.279930631003
934,910,1,4898.14694783961
934,910,1,4890.770739310427
933,909,1,4817.032508039478
933,909,1,4922.869733983669
938,913,1,4714.301665619175
931,907,1,5073.651766807093
933,909,1,4837.007854178753
932,908,1,4913.570917313008
932,908,1,5068.602648812588
933,909,1,5098.589573199882
938,913,1,5258.464477061035
937,913,1,5303.775393452884
933,909,1,4999.60234767499
932,907,1,4371.889236106856
936,912,1,4518.281814309397
938,914,1,5093.8074830946825
933,909,1,5303.5168033278915
938,913,1,4950.271887092566
938,913,1,4159.771737371834
933,909,1,5327.849288184496
931,907,1,4936.554334774146
933,909,1,5098.193205784852
936,912,1,4951.108297254509
932,907,1,4941.651636713186
936,911,1,4873.6905594748805
933,909,1,4982.497416775255
934,910,1,4992.267861663242
934,910,1,5461.7521102116925
936,911,1,4799.864561109155
932,908,1,5626.644597535658
936,912,1,4976.72557973095
936,911,1,5065.816902751046
935,911,1,4859.017215047601
934,909,1,4927.634273412741
938,913,1,5292.098955300453
930,906,1,4961.090440391563
937,913,0,4804.889869809533
938,913,1,5014.633034437845
933,909,1,4634.836411301585
933,909,1,5034.904118139635
936,911,1,5349.294479868378
931,906,1,5056.744621768299
936,911,1,4881.927231298891
934,910,0,5052.133729338497
937,912,1,5308.902976387879
937,912,1,4640.660472296194
938,914,1,4727.404521438206
936,912,1,4775.084195392693
937,912,1,5211.7168073992225
936,911,1,5082.115332060463
932,907,0,5114.296753698565
936,912,1,5111.710830466147
932,907,1,5173.47393350377
931,907,1,5099.975243462717
931,907,1,5037.419235780626
936,911,1,5190.134635933315
935,910,1,4743.330352849837
935,911,1,4645.8636279839575
938,914,0,5063.645400572912
937,913,1,5159.681017335068
932,908,1,5028.834874889789
932,908,1,4902.635221435681
935,910,1,5613.511217386282
934,909,1,5047.358990297473
938,913,1,5787.193359959465
934,910,1,5627.332237622435
934,909,1,4985.67189722522
932,908,1,4798.7304503916685
933,909,1,4899.641736670965
934,909,1,5477.694786609672
934,910,1,4771.402738109766
933,909,1,4641.979416875643
937,912,1,5148.176314352607
938,914,1,4651.4416335630585
934,909,1,4960.48390875789
933,909,1,4651.360616233501
933,908,1,4716.117679561355
939,914,1,5121.900271354082
934,909,1,5079.267924677031
938,914,1,5482.258260630931
933,909,1,5258.979100971737
936,912,1,5304.626051501072
934,909,1,4700.922573289294
937,912,1,4663.454330909109
936,912,1,4773.76643874618
936,912,1,5015.089731983773
933,909,1,5140.959978090334
935,910,1,5163.5349074517335
934,909,1,5488.4333834086265
934,910,1,5120.274693991403
935,911,1,5340.15434067322
938,914,1,5045.631780131746
932,908,1,5022.54509643601
935,911,1,4903.796782937041
932,908,1,4610.607605176522
935,910,1,4548.147830656321
937,912,1,5003.521925978682
933,908,1,4853.17061926673
936,912,1,4819.675717152656
937,913,1,4801.530171242471
936,912,1,5175.5196723300605
937,913,1,5351.160470761029
936,912,1,5160.618518301901
936,912,1,5136.4452160804985
937,913,1,5268.309621416428
934,910,1,4959.771543347054
932,908,1,5296.60446180712
933,909,1,5430.850319728656
936,912,0,5184.4252206856
937,912,1,4641.531580307854
935,911,1,4906.468452657976
934,909,1,4911.7717317572215
934,909,1,5015.753411349383
936,912,1,5216.855690240084
932,908,1,5030.90730840549
934,910,1,5145.219426655449
936,912,1,5159.346383033974
936,911,0,5171.23849512661
932,908,1,4745.506106836344
936,912,1,5074.973559549683
934,910,1,4787.940584274421
935,911,1,5522.017533122765
937,913,1,4562.014676146597
933,909,1,5043.109048563768
934,909,1,4767.388828367329
936,912,1,5150.801861690401
935,911,1,5020.203746013514
933,909,1,4907.49509159748
934,910,1,5143.967069652884
933,909,1,5064.926271451782
934,910,1,5363.028471987023
933,909,1,4892.612154311609
932,908,1,4833.424158190191
935,911,1,5056.784812239389
938,914,1,5143.069254071937
935,910,1,5029.036877065967
935,911,1,5706.496223800077
933,909,1,4955.719015195707
933,909,1,5111.404429024833
931,906,0,4468.44015684813
935,911,1,5130.716630452935
937,912,1,4680.9129411554
933,909,1,5248.309507522452
933,908,1,5063.276736384418
937,912,1,5139.576905279362
936,912,1,4769.8712920471735
933,909,1,5038.407792343573
934,909,1,5115.384452621822
937,913,1,4721.58179588114
934,910,1,4887.219113041378
933,909,1,5274.594084178261
931,907,1,4888.060091239494
932,908,1,5012.0819091324465
934,909,1,5544.16754054856
931,907,1,5261.809995601793
937,913,1,4938.195523799928
934,910,1,4790.545790464815
936,912,1,5558.85399259086
934,910,1,4683.812242333447
938,913,1,5108.434378884457
936,912,1,5165.548319895095
935,911,1,5370.749213227327
937,912,1,5218.3960187711355
931,906,1,4864.030489255365
933,908,1,5010.144613146484
937,912,1,4936.346871555592
934,909,1,4772.124752681864
936,911,1,4963.383821337101
937,913,1,5045.9921703935925
932,908,1,5143.202187912795
936,911,1,5037.272058752027
932,908,1,4958.921038132024
936,912,1,5208.744709720112
934,910,1,5294.723879423238
933,909,1,5052.269466022008
933,909,1,4790.95941349118
931,907,1,4703.403250127289
934,910,1,4582.055488740556
936,912,1,4615.228577688475
937,913,1,5252.584365747644
933,909,1,4692.874919311119
932,907,1,5159.229515178417
936,912,1,5129.674858454433
933,909,1,5022.977696360046
936,911,1,5167.267388738034
936,912,1,5126.737559563157
933,909,1,5268.358816582488
937,913,1,5271.886124144986
933,909,1,5089.4232405668945
933,909,1,4934.685109451464
934,910,1,5269.279666985144
932,907,0,4995.734696761011
935,910,1,4814.6543936108255
932,908,1,4909.339865413152
933,909,1,4926.300164954249
932,908,1,4850.738210623738
935,910,1,5119.730980841995
937,913,1,4770.316358262975
936,912,1,4930.00842513124
929,904,1,5295.066306060851
937,913,1,4633.590042522464
936,911,0,4864.008104986169
934,909,1,5339.008146576362
937,913,1,4907.534400349991
933,909,1,4827.465228392223
933,909,1,5036.0701796164285
930,906,1,5475.955489360806
937,913,1,5160.810055889245
932,908,1,4579.627051558627
931,907,1,5162.5055577165085
937,912,1,5322.09446327976
933,908,1,5124.924483579527
934,910,1,5031.86214468562
930,905,1,5128.210618396992
936,912,1,4875.642386646623
931,907,1,5426.880753088406
934,910,1,4780.337738428278
938,914,1,5301.7388572271175
932,907,1,4967.029226765097
937,913,1,4920.445395996102
934,909,1,4740.90678804948
938,914,1,5086.940501143711
934,909,1,4725.369846912691
932,907,1,5196.281223642788
931,906,1,5406.778357693907
937,913,1,5042.0294305678935
934,909,1,4700.8696757642665
933,909,1,4993.875465147842
936,911,1,4988.87716578022
932,908,1,4980.680694266809
933,909,1,5005.9704789190855
935,910,1,5218.519827720271
934,910,1,4925.179365463035
935,910,1,4923.794700659308
938,913,1,5230.0389154927425
932,908,1,4823.000461627214
932,907,1,5246.019514458787
932,908,1,5109.8112886223025
935,910,1,5024.095502574413
933,909,1,4806.257105439151
937,912,1,4933.114367853452
936,912,1,4933.4657155554
936,912,1,4942.002123802276
933,909,1,4593.19033773356
933,909,1,4785.025294132646
931,907,1,4926.314515072276
936,912,1,5116.567940034329
934,909,1,4954.968362994364
937,912,0,4864.23890143819
935,911,1,5125.19043400893
936,911,1,5070.126486679611
934,910,1,4522.900487745447
933,909,1,5177.441296646315
933,908,1,5444.661691374549
934,910,1,4792.108143137458
934,909,1,5239.337847917853
938,914,1,4505.292017793046
937,913,1,4835.614941663411
931,907,1,4949.36118841448
932,908,1,5120.64450056185
935,910,1,4760.981368171292
932,907,1,4713.21351974579
933,909,1,5136.814631860348
937,913,1,4551.170069551354
935,910,1,5289.512756671764
938,913,1,4939.65772644108
937,913,1,4660.0129832699695
933,909,1,5065.749891318442
933,909,1,4758.142017180479
935,911,1,5038.530160492823
933,908,1,4683.107094703646
932,908,1,4984.365277670521
934,910,1,5209.315750221804
933,908,1,5274.0395867807965
935,911,1,5143.941944016437
933,909,1,5121.276621349126
934,909,1,4474.6864714626145
935,911,1,4801.290018222298
929,904,1,5370.547917642185
934,909,1,5181.760302990758
938,914,1,5083.183663593519
937,912,0,5099.935887712233
936,912,1,4594.039715612043
933,909,1,4719.870849191879
935,911,1,5140.144190278742
934,910,0,5080.523067559446
937,913,1,5066.059224103101
938,913,1,4728.592326927414
936,912,1,5168.204579501428
933,909,1,4928.467358716276
934,910,0,5134.367554185008
933,909,1,4810.233126537358
932,907,1,4539.074054358002
934,910,1,4943.210614368701
933,909,1,5044.2759018213355
934,910,1,5172.034021072127
933,909,1,5102.950367797136
936,912,1,4481.899536156735
937,912,1,4638.55119842903
931,907,1,5170.599555953493
933,909,1,5273.365891319271
937,913,1,5023.285532118031
937,913,1,5361.777018570214
934,910,1,4724.383990996332
936,912,1,4607.184634154288
933,909,0,4924.822659886245
934,910,1,5250.139771364922
932,908,1,5180.395728363795
940,915,1,5415.524596926762
933,909,1,4798.4953737775095
934,910,1,5048.531841506643
935,911,1,4882.610359039291
934,909,1,5378.491536681671
936,912,1,5331.34998386224
933,908,1,4841.944949806164
936,912,1,4938.438432012773
934,909,1,5305.725913224949
936,912,1,4940.986748919164
934,910,1,4547.67656684687
938,913,1,4310.9373373578455
935,911,1,5257.4102387140065
938,914,1,5373.498397061405
933,909,1,4658.405573817413
934,910,1,4377.066461588763
933,909,1,4791.513737275449
934,910,1,4990.728004083126
932,908,1,4875.12364779169
935,911,1,4860.3098263078855
934,910,1,5710.613407542518
935,911,1,4717.6906547332665
933,909,1,5056.049693440713
937,913,1,5505.623676024677
937,913,1,4815.9407391346995
933,909,1,4927.449918062121
936,912,1,5287.455907746582
936,911,1,5728.4903180305955
936,911,1,5333.019772964751
930,906,1,5155.288174328531
931,907,1,5007.079993901103
933,909,1,4717.102318221649
938,914,1,5129.395261785344
937,913,1,5443.030849787034
931,907,1,5122.396826089019
934,910,1,4811.258295724825
932,908,1,5365.805187861354
931,907,1,5222.53158239677
933,908,1,5231.045236221999
938,914,1,4957.778075042376
